binary_cross_entropy,dice,mse,binary_accuracy
0.459100216627121,0.004142859019339,0.135415121912956,0.980810701847076
0.31189551949501,0.003953871317208,0.072310902178288,0.995708048343658
0.211623683571815,0.003693885868415,0.036766435950995,0.99573403596878
0.174473032355309,0.003489411668852,0.025949211791158,0.995736360549927
0.103253282606602,0.003777358448133,0.010216338559985,0.995736360549927
0.085371606051922,0.004560078028589,0.007350597064942,0.995736360549927
0.052666023373604,0.004846209660172,0.003447388065979,0.995736360549927
0.049152448773384,0.008116045035422,0.004760267212987,0.995739877223968
0.025914907455444,0.009421329945326,0.001666904077865,0.995762288570404
0.021555224433541,0.014446900226176,0.001363635645248,0.995878040790558
0.020967906340957,0.014889503829181,0.001559457276016,0.995799958705902
0.013347997330129,0.015129645355046,0.001118765561841,0.99580842256546
0.012639655731618,0.042366098612547,0.000832329737023,0.995998084545136
0.011699075810611,0.043545451015234,0.000914588861633,0.995895087718964
0.00882909167558,0.055958792567253,0.000590541691054,0.9961296916008
0.006824600975961,0.046931710094214,0.000646543281619,0.996115386486053
0.008302918635309,0.079321675002575,0.001222629100084,0.995341122150421
0.004933749791235,0.072371028363705,0.000529053912032,0.996152102947235
0.004875831305981,0.065782360732555,0.00060980534181,0.996110439300537
0.004616013728082,0.101643942296505,0.000589038070757,0.995984375476837
0.003821311285719,0.09981170296669,0.000442108226707,0.996159553527832
0.005784918088466,0.114221163094044,0.000996795599349,0.995434522628784
0.003713489277288,0.120708264410496,0.000512537080795,0.995980560779572
0.005804091691971,0.133978024125099,0.00117493676953,0.995135366916656
0.003316986374557,0.124521635472774,0.000449956365628,0.996114253997803
0.004145153332502,0.119331866502762,0.000626340974122,0.996088087558746
0.003035513916984,0.163680762052536,0.000447312253527,0.996069371700287
0.002924732165411,0.180379748344421,0.000395807437599,0.996146142482758
0.002836955944076,0.18129064142704,0.000380471348763,0.996181011199951
0.002561062574387,0.212750926613808,0.000356302742148,0.996121406555176
0.002729669911787,0.200956180691719,0.000391276465962,0.99616950750351
0.002472352935001,0.239409923553467,0.00035972284968,0.996094644069672
0.002635883865878,0.252551227807999,0.000379552278901,0.996098458766937
0.002852060832083,0.263394564390182,0.000410670734709,0.996125936508179
0.002840817905962,0.300688743591309,0.000377462449251,0.99612158536911
0.003742492990568,0.310431033372879,0.000408632331528,0.996148347854614
0.0036180827301,0.288271963596344,0.000482158240629,0.996143817901611
0.00225788494572,0.354503780603409,0.000311143114232,0.996132850646973
0.002660327358171,0.388460725545883,0.00034870064701,0.996155202388763
0.002558684675023,0.40795361995697,0.00035107601434,0.996113479137421
0.003706519724801,0.403551071882248,0.000419401127147,0.996174037456512
0.002545191207901,0.481562733650207,0.000324501772411,0.996145248413086
0.002623937092721,0.478673428297043,0.000340351252817,0.996160507202148
0.003379805013537,0.525920927524567,0.000351174152456,0.996189117431641
0.002528785495088,0.515101373195648,0.00033332357998,0.996127068996429
0.003461784915999,0.570348620414734,0.000377843156457,0.996177494525909
0.002671342343092,0.614883065223694,0.000340737053193,0.996142625808716
0.002488372614607,0.570469677448273,0.000359306577593,0.996078729629517
0.002717380644754,0.646411895751953,0.000354133895598,0.99612545967102
0.002696658717468,0.679098844528198,0.000324441731209,0.996172964572906
0.002562530804425,0.679710566997528,0.000322990090353,0.996161639690399
0.002622597618029,0.671677649021149,0.000320395600284,0.996165037155151
0.00309936888516,0.727543771266937,0.000362680555554,0.996149837970733
0.002773041604087,0.730586528778076,0.000303065695334,0.99618536233902
0.002466790610924,0.735638439655304,0.000299816689221,0.996180772781372
0.003073840169236,0.755123913288116,0.000388522079447,0.996126651763916
0.003075290238485,0.751143634319305,0.000319781829603,0.996188163757324
0.002613686723635,0.798909366130829,0.000295746518532,0.996188819408417
0.002767320955172,0.822332382202148,0.000307651847834,0.9961878657341
0.003077805042267,0.812555015087128,0.000336748402333,0.996173322200775
0.00266769900918,0.810059249401093,0.000379642850021,0.996072828769684
0.002500742441043,0.845253229141235,0.000312724936521,0.996142446994782
0.003473717020825,0.85085940361023,0.000383271806641,0.996174514293671
0.002284419955686,0.828657567501068,0.000294056109851,0.996149241924286
0.00237496313639,0.820559918880463,0.000299351668218,0.996170520782471
0.002675956115127,0.867223501205444,0.000310959178023,0.996181190013886
0.002666243584827,0.874301195144653,0.000293987832265,0.996192276477814
0.002478930866346,0.875276803970337,0.000296654965496,0.99616938829422
0.002426655264571,0.874941349029541,0.000293184624752,0.996157109737396
0.002584904199466,0.881776571273804,0.000309300026856,0.996160507202148
0.00277962279506,0.88456130027771,0.000323195912642,0.996168553829193
0.00263838400133,0.886311709880829,0.000308519956889,0.996180236339569
0.002721071243286,0.877512991428375,0.00032900844235,0.996165573596954
0.003078308189288,0.889047563076019,0.000324290507706,0.996174097061157
0.002925774315372,0.884747087955475,0.000309730734443,0.996196091175079
0.002848256146535,0.88156121969223,0.000406289327657,0.996065855026245
0.003102324204519,0.903694450855255,0.000332968920702,0.996169328689575
0.002634491538629,0.89630913734436,0.000299235427519,0.9961798787117
0.002682317281142,0.897894442081451,0.000304843502818,0.996157646179199
0.002613421296701,0.896908342838287,0.000308930350002,0.996156930923462
0.002717893337831,0.904936373233795,0.000298133905744,0.996180951595306
0.002383840503171,0.830018222332001,0.000318491278449,0.996139705181122
0.002731053391472,0.89208596944809,0.000319414451951,0.99617463350296
0.002783572999761,0.90488201379776,0.000320563995047,0.996163070201874
0.002678726566955,0.904355049133301,0.000316690275213,0.996159851551056
0.002673526294529,0.904887914657593,0.000316882011248,0.996155977249146
0.002669058507308,0.904772520065308,0.000316001794999,0.996152698993683
0.002998402575031,0.897747814655304,0.000326288194628,0.996188342571258
0.002838996239007,0.90862375497818,0.000320946419379,0.996169567108154
0.002779687987641,0.910893857479095,0.000305437977659,0.996175944805145
0.002577435458079,0.909611284732819,0.000296277954476,0.996165931224823
0.002915789373219,0.91275829076767,0.000306816742523,0.996184825897217
0.002629027003422,0.904108047485352,0.000309165625367,0.99617725610733
0.002532397862524,0.911107778549194,0.000302319036564,0.996147811412811
0.00295325089246,0.91167563199997,0.000330505543388,0.996143758296967
0.002524721669033,0.906275451183319,0.000303461682051,0.996152222156525
0.002969277789816,0.91718465089798,0.000306519039441,0.996179103851318
0.002790958853439,0.918916642665863,0.000332192255883,0.996131956577301
0.003025315469131,0.920750796794891,0.000323825894156,0.996161043643951
0.002597397891805,0.905419528484344,0.000298740778817,0.996181964874268
0.00280761346221,0.92219090461731,0.000309517199639,0.996157109737396
0.002739613177255,0.914232552051544,0.00032221651054,0.996138989925384
0.002785366261378,0.920006275177002,0.000300010404317,0.996175348758698
0.002651099814102,0.917301893234253,0.000293253135169,0.996166884899139
0.00274043274112,0.9161337018013,0.000294235331239,0.996185123920441
0.002410755259916,0.907197892665863,0.00031104584923,0.996110260486603
0.002645028522238,0.9168820977211,0.000338996644132,0.996100008487701
0.002773891901597,0.921291887760162,0.0003030373191,0.996166229248047
0.002757035428658,0.918898165225983,0.00031275380752,0.996145486831665
0.002445460297167,0.908652484416962,0.000291897362331,0.996156454086304
0.002701756311581,0.922485291957855,0.000290929863695,0.996176481246948
0.002645500004292,0.922765970230102,0.00031422128086,0.996134459972382
0.002846878953278,0.924942970275879,0.000317562400596,0.996156454086304
0.002883282722905,0.928484737873077,0.000294827885227,0.996165454387665
0.00256633781828,0.905645787715912,0.000309336959617,0.996144771575928
0.002839693799615,0.925314724445343,0.000303599779727,0.996166169643402
0.00269222818315,0.919893503189087,0.000302417640341,0.996164083480835
0.003137388499454,0.92008775472641,0.00038925811532,0.996080458164215
0.002726371400058,0.92319256067276,0.000317516853102,0.996147572994232
0.002834474667907,0.918890297412872,0.00029182745493,0.996190249919891
0.002416078932583,0.878069221973419,0.000329206726747,0.996145486831665
0.0024710141588,0.915444850921631,0.00028867853689,0.996174871921539
0.002521713031456,0.922106504440308,0.000294204190141,0.996165037155151
0.002565492875874,0.925473928451538,0.000291669479338,0.996165931224823
0.00263355858624,0.926607370376587,0.00029036149499,0.996172189712524
0.00259165209718,0.927678644657135,0.000288365641609,0.996168434619904
0.002603044034913,0.928141534328461,0.000288794923108,0.996167719364166
0.002670074813068,0.929670631885529,0.000295868230751,0.996164500713348
